👪,0x1f46a
╯,0x256f
⚾,0x26be
🙎,0x1f64e
☠,0x2620
🔞,0x1f51e
🍡,0x1f361
➰,0x27b0
🚖,0x1f696
🔌,0x1f50c
🏇,0x1f3c7
▒,0x2592
🐲,0x1f432
◟,0x25df
🚚,0x1f69a
Ⓐ,0x24b6
♎,0x264e
┐,0x2510
🅾,0x1f17e
🔕,0x1f515
⬛,0x2b1b
📯,0x1f4ef
🚒,0x1f692
🕝,0x1f55d
🎳,0x1f3b3
◝,0x25dd
🚡,0x1f6a1
➗,0x2797
♈,0x2648
⌃,0x2303
┘,0x2518
✝,0x271d
⍣,0x2363
📮,0x1f4ee
🕕,0x1f555
🕥,0x1f565
🕐,0x1f550
🕔,0x1f554
🈂,0x1f202
🎰,0x1f3b0
҂,0x482
╤,0x2564
👐,0x1f450
▄,0x2584
🔨,0x1f528
🍢,0x1f362
💴,0x1f4b4
🚩,0x1f6a9
🚛,0x1f69b
🐁,0x1f401
┯,0x252f
🎣,0x1f3a3
➖,0x2796
℅,0x2105
꒦,0xa4a6
࿎,0xfce
🍮,0x1f36e
💂,0x1f482
╰,0x2570
👂,0x1f442
□,0x25a1
╬,0x256c
🏫,0x1f3eb
■,0x25a0
▐,0x2590
▌,0x258c
🔧,0x1f527
➔,0x2794
❎,0x274e
👺,0x1f47a
🐑,0x1f411
🍈,0x1f348
┻,0x253b
📌,0x1f4cc
👬,0x1f46c
░,0x2591
▀,0x2580
😰,0x1f630
😧,0x1f627
🐸,0x1f438
⚠,0x26a0
☐,0x2610
💧,0x1f4a7
👮,0x1f46e
┳,0x2533
😲,0x1f632
┈,0x2508
🚶,0x1f6b6
😾,0x1f63e
☹,0x2639
🍣,0x1f363
🍱,0x1f371
😶,0x1f636
🙍,0x1f64d
🔋,0x1f50b
🍥,0x1f365
😦,0x1f626
😓,0x1f613
█,0x2588
💩,0x1f4a9
✂,0x2702
🙅,0x1f645
😨,0x1f628
😪,0x1f62a
👿,0x1f47f
💔,0x1f494
🚫,0x1f6ab
￼,0xfffc
😖,0x1f616
😷,0x1f637
👎,0x1f44e
😿,0x1f63f
😴,0x1f634
😣,0x1f623
😞,0x1f61e
😫,0x1f62b
😤,0x1f624
😠,0x1f620
😑,0x1f611
💀,0x1f480
😐,0x1f610
🔫,0x1f52b
😡,0x1f621
😕,0x1f615
😔,0x1f614
😭,0x1f62d
😒,0x1f612
😩,0x1f629
