❤,0x2764
♥,0x2665
😍,0x1f60d
😂,0x1f602
😘,0x1f618
😊,0x1f60a
👌,0x1f44c
💕,0x1f495
☺,0x263a
♡,0x2661
👏,0x1f44f
💃,0x1f483
😁,0x1f601
👍,0x1f44d
💖,0x1f496
🙌,0x1f64c
🎉,0x1f389
💪,0x1f4aa
✌,0x270c
😉,0x1f609
😃,0x1f603
💙,0x1f499
🙏,0x1f64f
🙈,0x1f648
🌸,0x1f338
💜,0x1f49c
😄,0x1f604
💗,0x1f497
💞,0x1f49e
💋,0x1f48b
😏,0x1f60f
😜,0x1f61c
😋,0x1f60b
💛,0x1f49b
🎶,0x1f3b6
😎,0x1f60e
☀,0x2600
💚,0x1f49a
🙊,0x1f64a
😌,0x1f60c
😚,0x1f61a
✨,0x2728
💘,0x1f498
🎊,0x1f38a
😻,0x1f63b
😀,0x1f600
★,0x2605
🎁,0x1f381
😆,0x1f606
😱,0x1f631
😝,0x1f61d
👑,0x1f451
🎈,0x1f388
⚽,0x26bd
💁,0x1f481
❄,0x2744
💓,0x1f493
👋,0x1f44b
♫,0x266b
😙,0x1f619
🍕,0x1f355
🔝,0x1f51d
🏆,0x1f3c6
✈,0x2708
😛,0x1f61b
🐧,0x1f427
🎄,0x1f384
🎂,0x1f382
☆,0x2606
💦,0x1f4a6
💎,0x1f48e
✊,0x270a
🙋,0x1f64b
👉,0x1f449
🎵,0x1f3b5
🍃,0x1f343
👊,0x1f44a
🍂,0x1f342
🌹,0x1f339
♪,0x266a
⛄,0x26c4
💤,0x1f4a4
🎀,0x1f380
🌴,0x1f334
☕,0x2615
👯,0x1f46f
⭐,0x2b50
🌞,0x1f31e
🔥,0x1f525
👅,0x1f445
🎅,0x1f385
😈,0x1f608
🙆,0x1f646
🐶,0x1f436
🍻,0x1f37b
🌺,0x1f33a
😅,0x1f605
🍉,0x1f349
🍹,0x1f379
😇,0x1f607
🌿,0x1f33f
🍀,0x1f340
🍁,0x1f341
💯,0x1f4af
🍸,0x1f378
💝,0x1f49d
👈,0x1f448
💏,0x1f48f
💐,0x1f490
🌚,0x1f31a
🎤,0x1f3a4
👸,0x1f478
🇪,0x1f1ea
✔,0x2714
👭,0x1f46d
↿,0x21bf
┊,0x250a
🌟,0x1f31f
🍺,0x1f37a
🎸,0x1f3b8
🍓,0x1f353
🌷,0x1f337
↾,0x21be
🏈,0x1f3c8
💫,0x1f4ab
✖,0x2716
🌻,0x1f33b
☝,0x261d
🎧,0x1f3a7
🌼,0x1f33c
💅,0x1f485
🐷,0x1f437
🏃,0x1f3c3
💑,0x1f491
💍,0x1f48d
🍷,0x1f377
🔮,0x1f52e
►,0x25ba
😽,0x1f63d
👫,0x1f46b
🙉,0x1f649
🍴,0x1f374
🎃,0x1f383
©,0xa9
💥,0x1f4a5
🌊,0x1f30a
🐾,0x1f43e
🐯,0x1f42f
🎎,0x1f38e
✋,0x270b
🇸,0x1f1f8
👽,0x1f47d
🌈,0x1f308
│,0x2502
👆,0x1f446
🏊,0x1f3ca
🍦,0x1f366
💨,0x1f4a8
🎓,0x1f393
💟,0x1f49f
⚡,0x26a1
💰,0x1f4b0
👶,0x1f476
😥,0x1f625
😹,0x1f639
😬,0x1f62c
🍩,0x1f369
🌍,0x1f30d
🐟,0x1f41f
�,0xfffd
📚,0x1f4da
😸,0x1f638
🐥,0x1f425
🐣,0x1f423
🇺,0x1f1fa
👻,0x1f47b
🍰,0x1f370
🐱,0x1f431
®,0xae
🎆,0x1f386
👾,0x1f47e
▬,0x25ac
🎮,0x1f3ae
🚬,0x1f6ac
🍌,0x1f34c
🚨,0x1f6a8
👄,0x1f444
🐒,0x1f412
🌙,0x1f319
🍆,0x1f346
👼,0x1f47c
📷,0x1f4f7
🐰,0x1f430
☔,0x2614
☁,0x2601
⛔,0x26d4
➡,0x27a1
🇩,0x1f1e9
🐭,0x1f42d
▪,0x25aa
🙀,0x1f640
💄,0x1f484
🇷,0x1f1f7
♦,0x2666
🍔,0x1f354
━,0x2501
➜,0x279c
▶,0x25b6
✿,0x273f
▃,0x2583
🗿,0x1f5ff
🐮,0x1f42e
♨,0x2668
👀,0x1f440
🍟,0x1f35f
🌌,0x1f30c
😮,0x1f62e
✓,0x2713
💊,0x1f48a
¦,0xa6
👇,0x1f447
💉,0x1f489
🐏,0x1f40f
🌃,0x1f303
🚴,0x1f6b4
✰,0x2730
🍍,0x1f34d
🐻,0x1f43b
🆗,0x1f197
✅,0x2705
🏄,0x1f3c4
🇹,0x1f1f9
🇮,0x1f1ee
💿,0x1f4bf
💆,0x1f486
👣,0x1f463
